Record ID,File Name,Assignment ID,Year,Person,Keywords,Creators,Date
207906607,PRE-EditoriaExcellence2018-183.jpg,CPR6931p,2018-04-09,David Carey,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,44th Floor,magazines,David Carey,Editorial Excellence 2018",,
207906608,PRE-EditoriaExcellence2018-196.jpg,CPR6931p,2018-04-09,David Carey,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,44th Floor,magazines,David Carey,Editorial Excellence 2018",,
207906609,PRE-EditoriaExcellence2018-185.jpg,CPR6931p,2018-04-09,David Carey,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,44th Floor,magazines,David Carey,Editorial Excellence 2018",,
207906610,PRE-EditoriaExcellence2018-219.jpg,CPR6931p,2018-04-09,David Carey,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,44th Floor,magazines,David Carey,Editorial Excellence 2018",,
207906611,PRE-EditoriaExcellence2018-232.jpg,CPR6931p,2018-04-09,"David Carey,Joanna Coles,Michael Wolff","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Joanna Coles,44th Floor,magazines,David Carey,Editorial Excellence 2018",,
207906612,PRE-EditoriaExcellence2018-220.jpg,CPR6931p,2018-04-09,David Carey,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,44th Floor,magazines,David Carey,Editorial Excellence 2018",,
207906613,PRE-EditoriaExcellence2018-215.jpg,CPR6931p,2018-04-09,David Carey,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,44th Floor,magazines,David Carey,Editorial Excellence 2018",,
207906614,PRE-EditoriaExcellence2018-213.jpg,CPR6931p,2018-04-09,David Carey,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,44th Floor,magazines,David Carey,Editorial Excellence 2018",,
207906615,PRE-EditoriaExcellence2018-187.jpg,CPR6931p,2018-04-09,David Carey,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,44th Floor,magazines,David Carey,Editorial Excellence 2018",,
207906616,PRE-EditoriaExcellence2018-211.jpg,CPR6931p,2018-04-09,David Carey,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,44th Floor,magazines,David Carey,Editorial Excellence 2018",,
207906617,PRE-EditoriaExcellence2018-216.jpg,CPR6931p,2018-04-09,David Carey,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,44th Floor,magazines,David Carey,Editorial Excellence 2018",,
207906618,PRE-EditoriaExcellence2018-061.jpg,CPR6931p,2018-04-09,David Carey,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,44th Floor,magazines,David Carey,Editorial Excellence 2018",,
207906619,PRE-EditoriaExcellence2018-208.jpg,CPR6931p,2018-04-09,David Carey,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,44th Floor,magazines,David Carey,Editorial Excellence 2018",,
207906620,PRE-EditoriaExcellence2018-065.jpg,CPR6931p,2018-04-09,David Carey,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,44th Floor,magazines,David Carey,Editorial Excellence 2018",,
207906621,PRE-EditoriaExcellence2018-229.jpg,CPR6931p,2018-04-09,"David Carey,Michael Wolff,Joanna Coles","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Joanna Coles,44th Floor,magazines,David Carey,Editorial Excellence 2018",,
207906622,PRE-EditoriaExcellence2018-214.jpg,CPR6931p,2018-04-09,David Carey,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,44th Floor,magazines,David Carey,Editorial Excellence 2018",,
207906623,PRE-EditoriaExcellence2018-069.jpg,CPR6931p,2018-04-09,Steve Swartz,"Hearst Magazines,Magazines,44th Floor,People @ Work,Steven R. Swartz,Steve Swartz,Editorial Excellence,2018,SRS,Events,Hearst magazines,magazines,Editorial Excellence 2018",,
207906624,PRE-EditoriaExcellence2018-072.jpg,CPR6931p,2018-04-09,Steve Swartz,"Hearst Magazines,Magazines,44th Floor,People @ Work,Steven R. Swartz,Steve Swartz,Editorial Excellence,2018,SRS,Events,Hearst magazines,magazines,Editorial Excellence 2018",,
207906676,PRE-EditoriaExcellence2018-132.jpg,CPR6931p,2018-04-09,Kim St. Clair Bodden,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906677,PRE-EditoriaExcellence2018-052.jpg,CPR6931p,2018-04-09,"Jennifer Levene Bruno,Kate Lewis,Dan Fuchs","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Kate Lewis,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906678,PRE-EditoriaExcellence2018-239.jpg,CPR6931p,2018-04-09,Madeline Frank Reeves,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906679,PRE-EditoriaExcellence2018-044.jpg,CPR6931p,2018-04-09,"Unidentified,Duane Bruton","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906680,PRE-EditoriaExcellence2018-133.jpg,CPR6931p,2018-04-09,Kim St. Clair Bodden,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906681,PRE-EditoriaExcellence2018-094.jpg,CPR6931p,2018-04-09,"Michael Wolff,Ellen Payne,Jayne Jamison,Troy Young","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Troy Young,Editorial Excellence 2018",,
207906682,PRE-EditoriaExcellence2018-204.jpg,CPR6931p,2018-04-09,"Michael Wolff,Joanna Coles,Ellen Payne,Jayne Jamison","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Joanna Coles,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906683,PRE-EditoriaExcellence2018-124.jpg,CPR6931p,2018-04-09,"Megan Twohey,Lucy Kaylin","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906684,PRE-EditoriaExcellence2018-053.jpg,CPR6931p,2018-04-09,"Jennifer Levene Bruno,Kate Lewis,Dan Fuchs","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Kate Lewis,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
